Data	AN	Data (sfarsit)	Nume Comp.	Moțiune	INFOs.	CA Team	TEMA	P/I	TIPOLOGIE	NIVEL	LIMBA	Runda	DRAW	Observatii	Lipsa	Link	TAGs (WIP)	TEMA 1	TEMA 2	TEMA 3
1-dec.-2006	2006		European Schools debating championship - Stuttgart 	TH would allow human cloning.			Stiinta si tehnologie, Moralitate	Prepared	Prescriptiv	General	Engleza		/					Stiinta si tehnologie	Moralitate	
1-dec.-2006	2006		European Schools debating championship - Stuttgart 	THBT marriage is a life sentance.			Familie, Experienta Umana?	Prepared	Descriptiv	General	Engleza		/					Familie	Experienta Umana?	
1-dec.-2006	2006		European Schools debating championship - Stuttgart 	THBT a childfree lifestyle is a responsible choice.			Familie, Experienta Umana?	Prepared	Descriptiv	General	Engleza		/					Familie	Experienta Umana?	
1-dec.-2006	2006		European Schools debating championship - Stuttgart 	THBT colonialism is a crime and that compensation should be paid to the colonised states.			Relatii Internationale	Prepared	Prescriptiv	General	Engleza		/					Relatii Internationale		
1-dec.-2006	2006		European Schools debating championship - Stuttgart 	THBT monarchy has no place in our modern world.			Politica	Prepared	Descriptiv	General	Engleza		/					Politica		
1-dec.-2006	2006		European Schools debating championship - Stuttgart 	THBT advertising arround schools schould be banned.			Educatie	Prepared	Prescriptiv	General	Engleza		/					Educatie		
1-dec.-2006	2006		European Schools debating championship - Stuttgart 	THBT North Korea has the right to develop nuclear power.			Relatii Internationale	Prepared	Prescriptiv	General	Engleza		/					Relatii Internationale		
1-dec.-2006	2006		European Schools debating championship - Stuttgart 	TH would abolish private education.			Educatie	Prepared	Prescriptiv	General	Engleza		/					Educatie		
1-sept.-2008	2008	4-sept.-2008	Forumul National de Dezbateri KP	O mai mare reglementare a mediului online este justificata.		Monica Mocanu, Ciprian Zaharia ?	Libertati	Prepared		General	Romana		/					Libertati		
1-sept.-2008	2008	4-sept.-2008	Forumul National de Dezbateri KP	Statul ar trebui sa intervina pentru a intari prezenta cetatenilor la vot.		Monica Mocanu, Ciprian Zaharia ?	Politica	Prepared	Prescriptiv	General	Romana		/					Politica		
1-sept.-2008	2008	4-sept.-2008	Forumul National de Dezbateri KP	Legea adoptiilor din Romania respecta interesul superior al copilului.		Monica Mocanu, Ciprian Zaharia ?	Familie	Prepared	Descriptiv	General	Romana		/					Familie		
1-sept.-2008	2008	4-sept.-2008	Forumul National de Dezbateri KP	Sistemul de admitere in licee ar trebui schimbat.		Monica Mocanu, Ciprian Zaharia ?	Educatie	Prepared	Prescriptiv	General	Romana		/					Educatie		
1-aug.-2008	2008		Forumul National de Dezbateri Constanta/Mamaia KP	Organizarea paradelor gay este justificata.			LGBT+	Prepared	Descriptiv	General	Romana		/					LGBT+		
1-aug.-2008	2008		Forumul National de Dezbateri Constanta/Mamaia KP	Statul ar trebui sa recurga la masuri mai ferme in comunitatile de romi pentru a intari participarea la educatie a copiilor.			Minoritati	Prepared	Prescriptiv	General	Romana		/					Minoritati		
13-nov.-2008	2008	14-nov.-2008	Sava	AP considera ca serviciile publice ar fi administrate mai bine de companii private.			Afaceri	Prepared	Descriptiv	General	Romana		/					Afaceri		
13-nov.-2008	2008	14-nov.-2008	Sava	AP ar interzice grevele in cazul functionarilor din cadrul serviciilor publice esentiale.			Politici Sociale	Prepared	Prescriptiv	General	Romana		/					Politici Sociale		
15-nov.-2008	2008	16-nov.-2008	PTA	Interzicerea temelor obligatorii pentru acasa la liceu este justificata.			Educatie	Prepared		Incepator	Romana		/					Educatie		
15-nov.-2008	2008	16-nov.-2008	PTA	Legalizarea prostitutiei este justificata.			Politici Sociale	Prepared		Incepator	Romana		/					Politici Sociale		
11-apr.-2009	2009	14-apr.-2009	FIAT	TH Believes in the State’s Intervention in Economy;			Economie	Prepared	Descriptiv	General	Engleza		/					Economie		
11-apr.-2009	2009	14-apr.-2009	FIAT	TH Believes that Social Networking Sites should Be Censored;			Mass/Social Media	Prepared	Prescriptiv	General	Engleza		/					Mass/Social Media		
11-apr.-2009	2009	14-apr.-2009	FIAT	TH Believes that Military Intervention is Justified in Case of Energy Resources Threat.			Securitate Razboi si Armata	Prepared	Descriptiv	General	Engleza		/					Securitate Razboi si Armata		
13-dec.-2009	2009	12-dec.-2009	PTA	AP crede in uniformele scolare.			Educatie	Prepared	Descriptiv	Incepator	Romana		/					Educatie		
13-dec.-2009	2009	12-dec.-2009	PTA	AP ar interzice simbolurile religioase in scoli.			Educatie, Religie	Prepared	Prescriptiv	Incepator	Romana		/					Educatie	Religie	
13-dec.-2009	2009	12-dec.-2009	PTA	AP crede in vaccinarea obligatorie impotriva bolilor contagioase.			Medicina	Prepared	Prescriptiv	Incepator	Romana		/					Medicina		
7-ian.-2011	2011	9-ian.-2011	PTA VI	AP ar privatiza sistemul educational.		David Moscovici	Educatie	Prepared	Prescriptiv	Incepator	Romana		/					Educatie		
7-ian.-2011	2011	9-ian.-2011	PTA VI	AP crede in pedeapsa cu moartea.		David Moscovici	Justitie	Prepared		Incepator	Romana		/					Justitie		
7-ian.-2011	2011	9-ian.-2011	PTA VI	AP ar legaliza drogurile usoare.		David Moscovici	Libertati	Impromptu	Prescriptiv	Incepator	Romana		/					Libertati		
7-ian.-2011	2011	9-ian.-2011	PTA VI	AP ar interzice sporturile violente.		David Moscovici	Sport	Impromptu	Prescriptiv	Incepator	Romana		/					Sport		
11-mar.-2011	2011	13-mar.-2011	Saint George V	Ar trebui acordat dreptul tinerilor de a fi alesi in Parlament incepand cu varsta de 18 ani.		Radu Cotarcea	Politica	Prepared	Prescriptiv	General	Romana	Runde, Sfert, Semi, Finala	General					Politica		
18-apr.-2011	2011	21-apr.-2011	Racoviţă Open 2011	AP ar elimina sanctiunile economice ca masura de politica internationala.		CA: Grigore Pop; DCA: Ioana Aciocoitei, Adi Ghite	Relatii Internationale, Economie	Prepared	Prescriptiv	General	Romana	R1, Sfert	General					Relatii Internationale	Economie	
18-apr.-2011	2011	21-apr.-2011	Racoviţă Open 2011	AP ar exonera de raspundere lucratorii vamali care contribuie la demascarea faptelor de coruptie din sistemul vamal.		CA: Grigore Pop; DCA: Ioana Aciocoitei, Adi Ghite	Justitie	Prepared	Prescriptiv	General	Romana	R3, Finala	General					Justitie		
18-apr.-2011	2011	21-apr.-2011	Racoviţă Open 2011	AP ar interzice bancilor sa se implice in orice fel in campanile electorale.		CA: Grigore Pop; DCA: Ioana Aciocoitei, Adi Ghite	Politica, Economie	Impromptu	Prescriptiv	General	Romana		/					Politica	Economie	
18-apr.-2011	2011	21-apr.-2011	Racoviţă Open 2011	AP crede ca statul ar trebui sa fie responsabil pentru moartea oamenilor fara adapost.		CA: Grigore Pop; DCA: Ioana Aciocoitei, Adi Ghite	Politici Sociale	Impromptu	Prescriptiv	General	Romana		/					Politici Sociale		
18-apr.-2011	2011	21-apr.-2011	Racoviţă Open 2011	AP ar restrange numarul locurilor disponibile pentru studenti in invatamantul superior.		CA: Grigore Pop; DCA: Ioana Aciocoitei, Adi Ghite	Educatie	Impromptu	Prescriptiv	General	Romana		/					Educatie		
29-apr.-2011	2011	1-mai-2011	Fiat!	THBT post genocide states should use public forms of punishment for those who participated in the genocide			Justitie	Prepared	Prescriptiv	General	Engleza		/		ceva?			Justitie		
